
央视频道,#genre#
CCTV-1 综合,http://115.212.187.245:7912/udp/233.50.200.130:5140
CCTV-1 综合,http://115.212.187.245:7912/udp/233.50.200.143:5140
CCTV-1 综合,http://115.212.187.245:7912/udp/233.50.200.99:5140
CCTV-1 综合,http://115.212.187.245:7912/udp/233.50.201.118:5140
CCTV-1 综合,http://115.212.187.245:7912/udp/233.50.201.222:5140
CCTV-10 科教,http://115.212.187.245:7912/udp/233.50.200.22:5140
CCTV-10 科教,http://115.212.187.245:7912/udp/233.50.201.122:5140
CCTV-11 戏曲,http://115.212.187.245:7912/udp/233.50.201.11:5140
CCTV-12 社会与法,http://115.212.187.245:7912/udp/233.50.200.21:5140
CCTV-12 社会与法,http://115.212.187.245:7912/udp/233.50.201.123:5140
CCTV-13 新闻,http://115.212.187.245:7912/udp/233.50.200.111:5140
CCTV-13 新闻,http://115.212.187.245:7912/udp/233.50.201.246:5140
CCTV-14 少儿,http://115.212.187.245:7912/udp/233.50.200.103:5140
CCTV-14 少儿,http://115.212.187.245:7912/udp/233.50.200.20:5140
CCTV-14 少儿,http://115.212.187.245:7912/udp/233.50.201.124:5140
CCTV-16 奥林匹克,http://115.212.187.245:7912/udp/233.50.200.112:5140
CCTV-16 奥林匹克,http://115.212.187.245:7912/udp/233.50.201.192:5140
CCTV-16 奥林匹克,http://115.212.187.245:7912/udp/233.50.201.63:5140
CCTV-16 奥林匹克,http://183.191.249.78:8001/rtp/226.0.2.169:9264
CCTV-17 农业农村,http://115.212.187.245:7912/udp/233.50.200.113:5140
CCTV-2 财经,http://115.212.187.245:7912/udp/233.50.200.100:5140
CCTV-2 财经,http://115.212.187.245:7912/udp/233.50.200.25:5140
CCTV-2 财经,http://115.212.187.245:7912/udp/233.50.201.119:5140
CCTV-3 综艺,http://115.212.187.245:7912/udp/233.50.200.107:5140
CCTV-3 综艺,http://115.212.187.245:7912/udp/233.50.201.196:5140
CCTV-4 中文国际,http://115.212.187.245:7912/udp/233.50.200.101:5140
CCTV-5 体育,http://115.212.187.245:7912/udp/233.50.200.108:5140
CCTV-5 体育,http://115.212.187.245:7912/udp/233.50.201.197:5140
CCTV-5+ 体育赛事,http://115.212.187.245:7912/udp/233.50.201.220:5140
CCTV-6 电影,http://115.212.187.245:7912/udp/233.50.200.109:5140
CCTV-6 电影,http://115.212.187.245:7912/udp/233.50.201.198:5140
CCTV-7 国防军事,http://115.212.187.245:7912/udp/233.50.200.102:5140
CCTV-7 国防军事,http://115.212.187.245:7912/udp/233.50.200.24:5140
CCTV-7 国防军事,http://115.212.187.245:7912/udp/233.50.201.120:5140
CCTV-8 电视剧,http://115.212.187.245:7912/udp/233.50.200.110:5140
CCTV-8 电视剧,http://115.212.187.245:7912/udp/233.50.201.199:5140
CCTV-9 纪录,http://115.212.187.245:7912/udp/233.50.200.23:5140
CCTV-9 纪录,http://115.212.187.245:7912/udp/233.50.201.121:5140

卫视频道,#genre#
东南卫视,http://115.212.187.245:7912/udp/233.50.201.146:5140
东方卫视,http://115.212.187.245:7912/udp/233.50.200.146:5140
东方卫视,http://115.212.187.245:7912/udp/233.50.201.125:5140
云南卫视,http://115.212.187.245:7912/udp/233.50.200.115:5140
凤凰中文,http://115.212.187.245:7912/udp/233.50.200.191:5140
凤凰中文,http://115.212.187.245:7912/udp/233.50.200.42:5140
凤凰资讯,http://115.212.187.245:7912/udp/233.50.200.192:5140
北京卫视,http://115.212.187.245:7912/udp/233.50.200.179:5140
北京卫视,http://115.212.187.245:7912/udp/233.50.201.107:5140
四川卫视,http://115.212.187.245:7912/udp/233.50.200.118:5140
四川卫视,http://115.212.187.245:7912/udp/233.50.201.139:5140
天津卫视,http://115.212.187.245:7912/udp/233.50.200.104:5140
天津卫视,http://115.212.187.245:7912/udp/233.50.201.104:5140
宁夏卫视,http://183.191.249.78:8001/rtp/226.0.2.64:8424
